zip,Borough,city,state_id,population
11237,BROOKLYN,Brooklyn,NY,45233.0
11238,BROOKLYN,Brooklyn,NY,58462.0
11239,BROOKLYN,Brooklyn,NY,16047.0
11249,BROOKLYN,Brooklyn,NY,45353.0
11354,QUEENS,Flushing,NY,52325.0
11355,QUEENS,Flushing,NY,79802.0
11356,QUEENS,College Point,NY,26956.0
11357,QUEENS,Whitestone,NY,42341.0
11358,QUEENS,Flushing,NY,36496.0
11360,QUEENS,Bayside,NY,19510.0
11361,QUEENS,Bayside,NY,30402.0
11362,QUEENS,Little Neck,NY,18156.0
11363,QUEENS,Little Neck,NY,7515.0
11364,QUEENS,Oakland Gardens,NY,36417.0
11365,QUEENS,Fresh Meadows,NY,43258.0
11366,QUEENS,Fresh Meadows,NY,12967.0
11367,QUEENS,Flushing,NY,42210.0
11368,QUEENS,Corona,NY,107060.0
11369,QUEENS,East Elmhurst,NY,33354.0
11370,QUEENS,East Elmhurst,NY,28762.0
11371,QUEENS,Flushing,NY,0.0
11372,QUEENS,Jackson Heights,NY,66995.0
11373,QUEENS,Elmhurst,NY,99433.0
11374,QUEENS,Rego Park,NY,46128.0
11375,QUEENS,Forest Hills,NY,75320.0
11377,QUEENS,Woodside,NY,83545.0
11378,QUEENS,Maspeth,NY,37828.0
11379,QUEENS,Middle Village,NY,37378.0
11385,BROOKLYN,Ridgewood,NY,103865.0
11385,QUEENS,Ridgewood,NY,103865.0
11411,QUEENS,Cambria Heights,NY,20501.0
11412,QUEENS,Saint Albans,NY,41350.0
11413,QUEENS,Springfield Gardens,NY,45072.0
11414,QUEENS,Howard Beach,NY,31090.0
11414,BROOKLYN,Howard Beach,NY,31090.0
11415,QUEENS,Kew Gardens,NY,21379.0
11416,QUEENS,Ozone Park,NY,26660.0
11417,QUEENS,Ozone Park,NY,30091.0
11418,QUEENS,Richmond Hill,NY,36304.0
11419,QUEENS,South Richmond Hill,NY,46938.0
11420,QUEENS,South Ozone Park,NY,50060.0
11421,QUEENS,Woodhaven,NY,41937.0
11422,QUEENS,Rosedale,NY,33085.0
11423,QUEENS,Hollis,NY,29105.0
11426,QUEENS,Bellerose,NY,19638.0
11427,QUEENS,Queens Village,NY,25124.0
11428,QUEENS,Queens Village,NY,18898.0
11429,QUEENS,Queens Village,NY,27933.0
11430,QUEENS,Jamaica,NY,448.0
11432,QUEENS,Jamaica,NY,63730.0
11433,QUEENS,Jamaica,NY,37777.0
11434,QUEENS,Jamaica,NY,67611.0
11435,QUEENS,Jamaica,NY,58424.0
11436,QUEENS,Jamaica,NY,21364.0
11451,QUEENS,Jamaica,NY,0.0
11691,QUEENS,Far Rockaway,NY,68704.0
11692,QUEENS,Arverne,NY,23247.0
11693,QUEENS,Far Rockaway,NY,13066.0
11694,QUEENS,Rockaway Park,NY,21430.0
11697,QUEENS,Breezy Point,NY,4123.0
